,BGE,,PEPCO,,DELMARVA (DPL),,POTOMAC EDISON,
Effective Date,RESI,COMM,RESI,COMM,RESI,COMM,RESI,COMM
2015-10-01T00:00:00.000,8.69,7.89,8.69,7.89,8.69,7.89,7.79,6.99
2015-11-01T00:00:00.000,8.69,7.89,8.79,7.99,8.99,8.19,7.89,7.09
2015-12-01T00:00:00.000,8.89,8.09,8.59,7.79,8.99,8.19,7.89,7.09
2016-01-01T00:00:00.000,9.99,9.19,9.69,8.89,9.99,9.19,8.29,7.49
2016-02-01T00:00:00.000,9.49,8.69,9.09,8.29,9.49,8.69,7.89,7.09
2016-03-01T00:00:00.000,8.79,7.99,8.19,7.39,8.39,7.59,7.39,6.59
2016-04-01T00:00:00.000,8.59,7.79,8.19,7.39,8.29,7.49,7.29,6.49
2016-05-01T00:00:00.000,8.59,7.79,8.19,7.39,8.29,7.49,7.29,6.49
2016-06-01T00:00:00.000,8.69,7.89,8.29,7.49,7.99,7.19,7.29,6.49
2016-07-01T00:00:00.000,9.69,8.89,8.99,8.19,8.59,7.79,7.99,7.19
2016-08-01T00:00:00.000,8.99,8.19,8.99,8.19,7.99,7.19,7.39,6.59
2016-09-01T00:00:00.000,8.79,7.99,8.29,7.49,7.99,7.19,7.39,6.59
2016-10-01T00:00:00.000,8.79,7.99,8.29,7.49,7.99,7.19,7.39,6.59
2016-11-01T00:00:00.000,8.79,7.99,8.29,7.49,7.99,7.19,7.39,6.59
2016-12-01T00:00:00.000,9.19,8.39,8.69,7.89,8.19,7.39,7.59,6.79
2017-01-01T00:00:00.000,10.79,9.99,10.29,9.49,10.29,9.49,8.99,8.19
2017-02-01T00:00:00.000,9.39,8.59,8.99,8.19,9.19,8.39,7.99,7.19
2017-03-01T00:00:00.000,8.19,7.39,8.19,7.39,7.79,6.99,6.99,6.19
2017-04-01T00:00:00.000,8.19,7.39,8.19,7.39,7.79,6.99,6.99,6.19
2017-05-01T00:00:00.000,8.19,7.39,8.19,7.39,7.79,6.99,6.99,6.19
2017-06-01T00:00:00.000,7.99,7.19,7.79,6.99,7.79,6.99,6.99,6.19
2017-07-01T00:00:00.000,8.29,7.49,8.19,7.39,8.19,7.39,7.59,6.79
2017-08-01T00:00:00.000,8.19,7.39,7.99,7.19,7.99,7.19,7.49,6.69
2017-09-01T00:00:00.000,7.99,7.19,7.69,6.89,7.49,6.69,7.29,6.49
2017-10-01T00:00:00.000,7.99,7.19,7.69,6.89,7.49,6.69,7.29,6.49
2017-11-01T00:00:00.000,8.69,7.89,8.39,7.59,8.19,7.39,7.99,7.19
2017-12-01T00:00:00.000,9.19,8.39,8.99,8.19,8.89,8.09,8.49,7.69
2018-01-01T00:00:00.000,10.69,9.89,10.39,9.59,10.39,9.59,9.69,8.89
2018-02-01T00:00:00.000,12.99,12.19,12.99,12.19,12.99,12.19,11.99,11.19
2018-03-01T00:00:00.000,8.99,8.19,8.59,7.79,8.39,7.59,8.19,7.39
2018-04-01T00:00:00.000,8.99,8.19,8.89,8.09,8.39,7.59,8.19,7.39
2018-05-01T00:00:00.000,8.99,8.19,8.89,8.09,8.39,7.59,8.29,7.49
2018-06-01T00:00:00.000,8.99,8.19,8.89,8.09,8.79,7.99,8.29,7.49
2018-07-01T00:00:00.000,9.59,8.79,9.39,8.59,9.59,8.79,8.99,8.19
2018-08-01T00:00:00.000,9.59,8.79,9.59,8.79,9.69,8.89,8.99,8.19
2018-09-01T00:00:00.000,9.59,8.79,9.69,8.89,9.59,8.79,8.79,7.99
2018-10-01T00:00:00.000,9.59,8.79,9.69,8.89,9.59,8.79,8.79,7.99
2018-11-01T00:00:00.000,9.99,9.19,9.99,9.19,10.29,9.49,9.19,8.39
2018-12-01T00:00:00.000,11.99,11.19,11.19,10.39,11.99,11.19,10.99,10.19
2019-01-01T00:00:00.000,12.69,11.89,12.49,11.69,13.59,12.79,11.99,11.19
2019-02-01T00:00:00.000,10.99,10.19,10.59,9.79,11.59,10.79,9.99,9.19
2019-03-01T00:00:00.000,9.69,8.89,9.39,8.59,9.59,8.79,8.89,8.09
2019-04-01T00:00:00.000,9.49,8.69,8.99,8.19,9.29,8.49,8.79,7.99
2019-05-01T00:00:00.000,9.19,8.39,8.89,8.09,9.29,8.49,8.49,7.69
2019-06-01T00:00:00.000,8.89,8.09,8.69,7.89,8.69,7.89,8.49,7.69
2019-07-01T00:00:00.000,8.89,8.09,8.69,7.89,8.99,8.19,8.19,7.39
2019-08-01T00:00:00.000,8.79,7.99,8.59,7.79,8.99,8.19,8.09,7.29
2019-09-01T00:00:00.000,8.39,7.59,8.19,7.39,8.59,7.79,7.79,6.99
2019-10-01T00:00:00.000,8.69,7.89,8.59,7.79,8.59,7.79,7.99,7.19
2019-11-01T00:00:00.000,9.09,8.29,8.99,8.19,8.99,8.19,8.49,7.69
2019-12-01T00:00:00.000,10.29,9.49,9.79,8.99,9.89,9.09,9.89,9.09
2020-01-01T00:00:00.000,10.19,9.39,9.99,9.19,10.49,9.69,9.19,8.39
2020-02-01T00:00:00.000,9.29,8.49,9.19,8.39,9.69,8.89,8.39,7.59
2020-03-01T00:00:00.000,8.79,7.99,8.79,7.99,9.19,8.39,8.29,7.49
2020-04-01T00:00:00.000,8.29,7.49,8.19,7.39,8.19,7.39,7.69,6.89
2020-05-01T00:00:00.000,7.39,6.59,7.39,6.59,7.39,6.59,6.99,6.19
2020-06-01T00:00:00.000,7.29,6.49,7.39,6.59,8.09,7.29,6.79,5.99
2020-07-01T00:00:00.000,7.49,6.69,7.39,6.59,7.99,7.19,6.99,6.19
2020-08-01T00:00:00.000,7.79,6.99,7.69,6.89,8.39,7.59,7.19,6.39
2020-09-01T00:00:00.000,8.37,7.77,8.15,7.55,8.72,8.12,7.62,7.02
2020-10-01T00:00:00.000,8.37,7.77,8.19,7.59,8.75,8.15,7.64,7.04
2020-11-01T00:00:00.000,8.99,8.39,8.64,8.04,9.19,8.59,8.06,7.46
2020-12-01T00:00:00.000,8.69,8.09,8.39,7.79,8.99,8.39,7.79,7.19
2021-01-01T00:00:00.000,10.09,9.49,9.79,9.19,10.79,10.19,9.19,8.59
2021-02-01T00:00:00.000,9.59,8.99,9.29,8.69,10.29,9.69,8.49,7.89
2021-03-01T00:00:00.000,9.99,9.39,9.79,9.19,10.49,9.89,9.19,8.59
2021-04-01T00:00:00.000,9.79,9.19,9.59,8.99,10.09,9.49,8.99,8.39
2021-05-01T00:00:00.000,9.59,8.99,9.19,8.59,9.69,9.09,8.59,7.99
2021-06-01T00:00:00.000,10.29,9.69,9.79,9.19,9.79,9.19,9.39,8.79
2021-07-01T00:00:00.000,10.99,10.39,10.49,9.89,10.79,10.19,9.99,9.39
2021-08-01T00:00:00.000,11.64,11.04,11.07,10.47,11.7,11.1,10.5,9.9
2021-09-01T00:00:00.000,11.84,11.24,11.19,10.59,11.25,10.65,10.61,10.01
2021-10-01T00:00:00.000,12.89,12.29,12.39,11.79,12.39,11.79,11.89,11.29
2021-11-01T00:00:00.000,14.09,13.49,13.59,12.99,13.69,13.09,13.09,12.49
2021-12-01T00:00:00.000,14.29,13.69,13.69,13.09,14.09,13.49,13.29,12.69
2022-01-01T00:00:00.000,15.49,14.89,14.49,13.89,14.99,14.39,13.99,13.39
2022-02-01T00:00:00.000,16.49,15.89,15.49,14.89,15.29,14.69,13.99,13.39
2022-03-01T00:00:00.000,14.39,13.79,13.69,13.09,13.79,13.19,13.09,12.49
2022-04-01T00:00:00.000,13.49,12.89,12.79,12.19,12.89,12.29,12.39,11.79
2022-05-01T00:00:00.000,15.69,15.09,14.99,14.39,15.09,14.49,14.59,13.99
