Back to Contents,Data 1: Maryland Total Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon)
Sourcekey,EMA_EPM0_PWG_SMD_DPG
Date,Maryland Total Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon)
Jan-1983,0.907
Feb-1983,0.872
Mar-1983,0.854
Apr-1983,0.88
May-1983,0.911
Jun-1983,0.917
Jul-1983,0.93
Aug-1983,0.929
Sep-1983,0.924
Oct-1983,0.909
Nov-1983,0.892
Dec-1983,0.875
Jan-1984,0.877
Feb-1984,0.877
Mar-1984,0.872
Apr-1984,0.878
May-1984,0.874
Jun-1984,0.867
Jul-1984,0.849
Aug-1984,0.835
Sep-1984,0.85
Oct-1984,0.847
Nov-1984,0.838
Dec-1984,0.826
Jan-1985,0.801
Feb-1985,0.806
Mar-1985,0.839
Apr-1985,0.875
May-1985,0.895
Jun-1985,0.899
Jul-1985,0.897
Aug-1985,0.885
Sep-1985,0.881
Oct-1985,0.885
Nov-1985,0.899
Dec-1985,0.88
Jan-1986,0.855
Feb-1986,0.777
Mar-1986,0.643
Apr-1986,0.569
May-1986,0.599
Jun-1986,0.578
Jul-1986,0.517
Aug-1986,0.524
Sep-1986,0.529
Oct-1986,0.51
Nov-1986,0.515
Dec-1986,0.522
Jan-1987,0.568
Feb-1987,0.588
Mar-1987,0.595
Apr-1987,0.618
May-1987,0.626
Jun-1987,0.642
Jul-1987,0.673
Aug-1987,0.674
Sep-1987,0.654
Oct-1987,0.646
Nov-1987,0.648
Dec-1987,0.625
Jan-1988,0.619
Feb-1988,0.623
Mar-1988,0.625
Apr-1988,0.65
May-1988,0.662
Jun-1988,0.657
Jul-1988,0.676
Aug-1988,0.677
Sep-1988,0.659
Oct-1988,0.654
Nov-1988,0.665
Dec-1988,0.653
Jan-1989,0.656
Feb-1989,0.663
Mar-1989,0.675
Apr-1989,0.744
May-1989,0.786
Jun-1989,0.781
Jul-1989,0.765
Aug-1989,0.731
Sep-1989,0.743
Oct-1989,0.744
Nov-1989,0.731
Dec-1989,0.734
Jan-1990,0.792
Feb-1990,0.778
Mar-1990,0.751
Apr-1990,0.769
May-1990,0.78
Jun-1990,0.782
Jul-1990,0.78
Aug-1990,0.868
Sep-1990,0.947
Oct-1990,1.06
Nov-1990,1.061
Dec-1990,0.952
Jan-1991,0.859
Feb-1991,0.775
Mar-1991,0.716
Apr-1991,0.732
May-1991,0.78
Jun-1991,0.767
Jul-1991,0.741
Aug-1991,0.776
Sep-1991,0.769
Oct-1991,0.76
Nov-1991,0.785
Dec-1991,0.754
Jan-1992,0.728
Feb-1992,0.723
Mar-1992,0.699
Apr-1992,0.712
May-1992,0.744
Jun-1992,0.772
Jul-1992,0.757
Aug-1992,0.753
Sep-1992,0.749
Oct-1992,0.759
Nov-1992,0.772
Dec-1992,0.74
Jan-1993,0.721
Feb-1993,0.697
Mar-1993,0.677
Apr-1993,0.704
May-1993,0.708
Jun-1993,0.696
Jul-1993,0.667
Aug-1993,0.658
Sep-1993,0.642
Oct-1993,0.646
Nov-1993,0.65
Dec-1993,0.609
Jan-1994,0.609
Feb-1994,0.615
Mar-1994,0.593
Apr-1994,0.606
May-1994,0.624
Jun-1994,0.651
Jul-1994,0.668
Aug-1994,0.702
Sep-1994,0.663
Oct-1994,0.668
Nov-1994,0.74
Dec-1994,0.729
Jan-1995,0.723
Feb-1995,0.709
Mar-1995,0.69
Apr-1995,0.721
May-1995,0.794
Jun-1995,0.776
Jul-1995,0.713
Aug-1995,0.675
Sep-1995,0.671
Oct-1995,0.638
Nov-1995,0.62
Dec-1995,0.636
Jan-1996,0.659
Feb-1996,0.673
Mar-1996,0.722
Apr-1996,0.805
May-1996,0.852
Jun-1996,0.807
Jul-1996,0.793
Aug-1996,0.763
Sep-1996,0.763
Oct-1996,0.783
Nov-1996,0.806
Dec-1996,0.807
Jan-1997,0.81
Feb-1997,0.788
Mar-1997,0.765
Apr-1997,0.725
May-1997,0.731
Jun-1997,0.705
Jul-1997,0.699
Aug-1997,0.76
Sep-1997,0.755
Oct-1997,0.725
Nov-1997,0.702
Dec-1997,0.677
Jan-1998,0.646
Feb-1998,0.612
Mar-1998,0.581
Apr-1998,0.6
May-1998,0.611
Jun-1998,0.6
Jul-1998,0.591
Aug-1998,0.559
Sep-1998,0.552
Oct-1998,0.568
Nov-1998,0.534
Dec-1998,0.495
Jan-1999,0.496
Feb-1999,0.471
Mar-1999,0.524
Apr-1999,0.62
May-1999,0.641
Jun-1999,0.643
Jul-1999,0.692
Aug-1999,0.746
Sep-1999,0.787
Oct-1999,0.787
Nov-1999,0.804
Dec-1999,0.815
Jan-2000,0.832
Feb-2000,0.905
Mar-2000,1.034
Apr-2000,0.994
