"","Date","gasPrice","electricityPrice"
"1","2015-10",1.466,8.465
"2","2015-11",1.384,8.59
"3","2015-12",1.309,8.59
"4","2016-01",1.156,9.49
"5","2016-02",1.041,8.99
"6","2016-03",1.306,8.19
"7","2016-04",1.452,8.09
"8","2016-05",1.596,8.09
"9","2016-06",1.602,8.065
"10","2016-07",1.428,8.815
"11","2016-08",1.455,8.34
"12","2016-09",1.44,8.115
"13","2016-10",1.54,8.115
"14","2016-11",1.42,8.115
"15","2016-12",1.588,8.415
"16","2017-01",1.596,10.09
"17","2017-02",1.574,8.89
"18","2017-03",1.567,7.79
"19","2017-04",1.67,7.79
"20","2017-05",1.618,7.79
"21","2017-06",1.52,7.64
"22","2017-07",1.596,8.065
"23","2017-08",1.67,7.915
"24","2017-09",1.823,7.615
"25","2017-10",1.66,7.615
"26","2017-11",1.758,8.315
"27","2017-12",1.701,8.89
"28","2018-01",1.823,10.29
"29","2018-02",1.767,12.74
"30","2018-03",1.851,8.54
"31","2018-04",1.998,8.615
"32","2018-05",2.199,8.64
"33","2018-06",2.102,8.74
"34","2018-07",2.117,9.39
"35","2018-08",2.062,9.465
"36","2018-09",2.055,9.415
"37","2018-10",1.983,9.415
"38","2018-11",1.613,9.865
"39","2018-12",1.436,11.54
"40","2019-01",1.437,12.69
"41","2019-02",1.555,10.79
"42","2019-03",1.834,9.39
"43","2019-04",2.029,9.14
"44","2019-05",2.023,8.965
"45","2019-06",1.833,8.69
"46","2019-07",1.955,8.69
"47","2019-08",1.738,8.615
"48","2019-09",1.709,8.24
"49","2019-10",1.704,8.465
"50","2019-11",1.71,8.89
"51","2019-12",1.704,9.965
"52","2020-01",1.667,9.965
"53","2020-02",1.577,9.14
"54","2020-03",1.04,8.765
"55","2020-04",0.673,8.09
"56","2020-05",0.997,7.29
"57","2020-06",1.212,7.39
"58","2020-07",1.29,7.465
"59","2020-08",1.284,7.765
"60","2020-09",1.256,8.215
"61","2020-10",1.227,8.2375
"62","2020-11",1.196,8.72
"63","2020-12",1.333,8.465
"64","2021-01",1.516,9.965
"65","2021-02",1.711,9.415
"66","2021-03",1.933,9.865
"67","2021-04",1.937,9.615
"68","2021-05",2.092,9.265
"69","2021-06",2.13,9.815
"70","2021-07",2.204,10.565
"71","2021-08",2.156,11.2275
"72","2021-09",2.189,11.2225
"73","2021-10",2.404,12.39
"74","2021-11",2.4,13.615
"75","2021-12",2.24,13.84
"76","2022-01",2.347,14.74
"77","2022-02",2.572,15.315
"78","2022-03",3.115,13.74
