"zipcode","DISTRICT","PARENT","LABEL","NAME"
"08608",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08023",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"19112",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08248",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"07087",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07042",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07062",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08212",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"08822","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"08270",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"07057",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07029",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07050",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07508",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08244",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"07310",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07756","Coastal Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"08882",NA,NA,"Municipal","Municipal- South River"
"08320",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"07407",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08006",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"07024",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07676",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07203",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07504",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08010",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07068",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"19147",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"18950","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07052",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08880",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07663",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07661",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07762","Coastal Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07723","Coastal Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07626",NA,"Consolidated Edison","Rockland Electric","Rockland Electric Company"
"07820","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"08353",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"07018",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08553",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08091",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"07311",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07730","Coastal Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07740","Coastal Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07764","Coastal Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"19021",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"19114",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07842","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07852","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07870","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07926","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07927","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07939","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07961","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"07970","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"18327","Metro Region","FirstEnergy","JCP&L","Jersey Central Power & Light"
"08011",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08027",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"08035",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"08037",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"08039",NA,"Pepco Holding Inc (PHI)","ACE","Atlantic City Electric"
"07067",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07080",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07090",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07505",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07513",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07607",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
"07628",NA,"Public Service Enterprise Group","PSE&G","Public Service Electric & Gas Co."
