"","ZIP.Code","NAME","Registration.Date","Vehicle.Count","AEC_Rebate","AEC","PSEG_Rebate","PSEG","REC_Rebate","REC","JCPL_Rebate","JCPL"
"1",7001,"Public Service Electric & Gas Co.",2019-06-01,21,0,0,0,1,0,0,0,0
"2",7001,"Public Service Electric & Gas Co.",2021-06-01,45,1,0,0,1,0,0,0,0
"3",7001,"Public Service Electric & Gas Co.",2022-06-01,59,1,0,1,1,0,0,0,0
"4",7001,"Public Service Electric & Gas Co.",2017-06-01,5,0,0,0,1,0,0,0,0
"5",7001,"Public Service Electric & Gas Co.",2021-12-01,53,1,0,1,1,0,0,0,0
"6",7001,"Public Service Electric & Gas Co.",2022-12-01,67,1,0,1,1,1,0,1,0
"7",7001,"Public Service Electric & Gas Co.",2023-12-01,187,1,0,1,1,1,0,1,0
"8",7001,"Public Service Electric & Gas Co.",2018-06-01,14,0,0,0,1,0,0,0,0
"9",7001,"Public Service Electric & Gas Co.",2017-12-01,10,0,0,0,1,0,0,0,0
"10",7001,"Public Service Electric & Gas Co.",2023-06-01,130,1,0,1,1,1,0,1,0
"11",7001,"Public Service Electric & Gas Co.",2020-12-01,40,0,0,0,1,0,0,0,0
"12",7001,"Public Service Electric & Gas Co.",2020-06-01,30,0,0,0,1,0,0,0,0
"13",7001,"Public Service Electric & Gas Co.",2019-12-01,28,0,0,0,1,0,0,0,0
"14",7001,"Public Service Electric & Gas Co.",2018-12-01,21,0,0,0,1,0,0,0,0
"15",7002,"Public Service Electric & Gas Co.",2019-06-01,62,0,0,0,1,0,0,0,0
"16",7002,"Public Service Electric & Gas Co.",2019-12-01,73,0,0,0,1,0,0,0,0
"17",7002,"Public Service Electric & Gas Co.",2021-06-01,123,1,0,0,1,0,0,0,0
"18",7002,"Public Service Electric & Gas Co.",2023-06-01,439,1,0,1,1,1,0,1,0
"19",7002,"Public Service Electric & Gas Co.",2020-06-01,89,0,0,0,1,0,0,0,0
"20",7002,"Public Service Electric & Gas Co.",2021-12-01,181,1,0,1,1,0,0,0,0
"21",7002,"Public Service Electric & Gas Co.",2020-12-01,105,0,0,0,1,0,0,0,0
"22",7002,"Public Service Electric & Gas Co.",2022-12-01,292,1,0,1,1,1,0,1,0
"23",7002,"Public Service Electric & Gas Co.",2023-12-01,566,1,0,1,1,1,0,1,0
"24",7002,"Public Service Electric & Gas Co.",2022-06-01,244,1,0,1,1,0,0,0,0
"25",7002,"Public Service Electric & Gas Co.",2017-06-01,29,0,0,0,1,0,0,0,0
"26",7002,"Public Service Electric & Gas Co.",2018-06-01,36,0,0,0,1,0,0,0,0
"27",7002,"Public Service Electric & Gas Co.",2017-12-01,36,0,0,0,1,0,0,0,0
"28",7002,"Public Service Electric & Gas Co.",2018-12-01,54,0,0,0,1,0,0,0,0
"29",7003,"Public Service Electric & Gas Co.",2018-06-01,79,0,0,0,1,0,0,0,0
"30",7003,"Public Service Electric & Gas Co.",2022-12-01,376,1,0,1,1,1,0,1,0
"31",7003,"Public Service Electric & Gas Co.",2023-12-01,565,1,0,1,1,1,0,1,0
"32",7003,"Public Service Electric & Gas Co.",2019-06-01,101,0,0,0,1,0,0,0,0
"33",7003,"Public Service Electric & Gas Co.",2020-12-01,177,0,0,0,1,0,0,0,0
"34",7003,"Public Service Electric & Gas Co.",2017-06-01,33,0,0,0,1,0,0,0,0
"35",7003,"Public Service Electric & Gas Co.",2021-12-01,290,1,0,1,1,0,0,0,0
"36",7003,"Public Service Electric & Gas Co.",2017-12-01,58,0,0,0,1,0,0,0,0
