,,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2024,7,AK,Preliminary,"37,273","145,356","300,496",25.64,"44,445","210,303","57,791",21.13,"21,898","114,227","1,217",19.17,0,0,0,0.00,"103,616","469,886","359,504",22.05
2024,7,AL,Preliminary,"543,210","3,636,583","2,407,299",14.94,"311,525","2,315,671","387,682",13.45,"205,511","2,790,636","7,250",7.36,0,0,0,0.00,"1,060,246","8,742,891","2,802,231",12.13
2024,7,AR,Preliminary,"258,231","2,081,942","1,485,484",12.40,"121,680","1,203,932","210,389",10.11,"123,097","1,777,750","41,799",6.92,4,26,2,13.62,"503,012","5,063,649","1,737,674",9.93
2024,7,AZ,Preliminary,"857,950","5,748,866","3,093,942",14.92,"499,496","3,817,868","344,939",13.08,"117,193","1,297,952","7,125",9.03,123,998,2,12.36,"1,474,762","10,865,684","3,446,008",13.57
2024,7,CA,Preliminary,"3,263,175","10,023,535","14,378,303",32.56,"3,325,940","11,008,875","1,800,737",30.21,"1,159,540","4,439,634","152,098",26.12,"10,646","61,943",13,17.19,"7,759,301","25,533,987","16,331,151",30.39
2024,7,CO,Preliminary,"350,305","2,261,287","2,496,728",15.49,"247,939","1,906,674","399,259",13.00,"132,491","1,421,387","15,037",9.32,685,"7,139",1,9.60,"731,421","5,596,487","2,911,025",13.07
2024,7,CT,Preliminary,"422,227","1,506,721","1,550,611",28.02,"235,450","1,174,369","157,422",20.05,"40,010","231,756","3,837",17.26,"2,857","17,311",3,16.50,"700,544","2,930,157","1,711,873",23.91
2024,7,DC,Preliminary,"50,408","296,261","318,839",17.01,"120,834","706,459","27,576",17.10,"1,787","15,584",1,11.47,"2,783","29,902",3,9.31,"175,813","1,048,206","346,419",16.77
2024,7,DE,Preliminary,"92,353","596,052","470,303",15.49,"51,177","421,307","60,446",12.15,"15,256","176,442",741,8.65,0,0,0,0.00,"158,787","1,193,802","531,490",13.30
2024,7,FL,Preliminary,"2,085,685","15,171,883","10,407,926",13.75,"1,029,699","9,809,950","1,297,806",10.50,"128,601","1,526,696","27,293",8.42,657,"6,515",2,10.08,"3,244,642","26,515,045","11,733,027",12.24
2024,7,GA,Preliminary,"1,061,749","6,982,841","4,827,323",15.21,"609,954","4,936,633","617,250",12.36,"262,200","2,960,422","24,553",8.86,"1,618","14,064",1,11.50,"1,935,521","14,893,960","5,469,127",13.00
